id,title,content,language,userId,technology,name
196,Queue Implementation,"#include <iostream>
#include <queue>

int main() {
    std::queue<int> myQueue;

    myQueue.push(10);
    myQueue.push(20);
    myQueue.push(30);

    while (!myQueue.empty()) {
        std::cout << myQueue.front() << "" "";
        myQueue.pop();
    }

    return 0;
}",cpp,user_2Z3CKSIRMbRMG5mImMwCY9GZYRY,cpp,2
188,Fetch example,"fetch('https://jsonplaceholder.typicode.com/todos/1')
    .then(response => response.json())
    .then(data => {
        console.log(""Title:"", data.title);
        console.log(""Completed:"", data.completed);
    });",javascript,user_2Z3CKSIRMbRMG5mImMwCY9GZYRY,javascript,js-fetch
197,Search and Replace in File,"file=""example.txt""
search=""old_text""
replace=""new_text""

sed -i ""s/$search/$replace/g"" ""$file""",bash,user_2Z3CKSIRMbRMG5mImMwCY9GZYRY,bash,3
182,Web scrapper,"import requests
from bs4 import BeautifulSoup

url = 'https://example.com'
response = requests.get(url)
soup = BeautifulSoup(response.text, 'html.parser')
titles = soup.find_all('h2')

for title in titles:
    print(title.text)",python,user_2Z3CKSIRMbRMG5mImMwCY9GZYRY,python,4
184,Simple Console App,"using System;

class Program {
    static void Main() {
        Console.WriteLine(""Hello, C#!"");
    }
}",csharp,user_2Z3CKSIRMbRMG5mImMwCY9GZYRY,csharp,5
185,Generate Random Password,"function generateRandomPassword($length = 8) {
    $characters = 'abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789';
    $password = '';
    for ($i = 0; $i < $length; $i++) {
        $password .= $characters[rand(0, strlen($characters) - 1)];
    }
    return $password;
}

echo generateRandomPassword();",php,user_2Z3CKSIRMbRMG5mImMwCY9GZYRY,php,6
186,Fibonacci Sequence,"def fibonacci(n)
  return n if n <= 1
  fibonacci(n - 1) + fibonacci(n - 2)
end

puts fibonacci(7)",ruby,user_2Z3CKSIRMbRMG5mImMwCY9GZYRY,ruby,7
189,Read and Print Lines from File,"import java.nio.file.Files;
import java.nio.file.Paths;
import java.io.IOException;

public class FileReader {
    public static void main(String[] args) throws IOException {
        String fileName = ""sample.txt"";
        Files.lines(Paths.get(fileName)).forEach(System.out::println);
    }
}",java,user_2Z3CKSIRMbRMG5mImMwCY9GZYRY,java,9
190,Retrieve and Display Data from Database,"using System;
using System.Data.SqlClient;

class Program {
    static void Main() {
        string connectionString = ""Data Source=(localdb)\\MSSQLLocalDB;Initial Catalog=SampleDB;Integrated Security=True"";
        using (SqlConnection connection = new SqlConnection(connectionString)) {
            connection.Open();
            string sql = ""SELECT Name FROM Employees"";
            using (SqlCommand command = new SqlCommand(sql, connection)) {
                using (SqlDataReader reader = command.ExecuteReader()) {
                    while (reader.Read()) {
                        Console.WriteLine(""Employee Name: "" + reader[""Name""]);
                    }
                }
            }
        }
    }
}",csharp,user_2Z3CKSIRMbRMG5mImMwCY9GZYRY,csharp,10
191," Retrieve and Display Data from MySQL Database","$servername = ""localhost"";
$username = ""username"";
$password = ""password"";
$dbname = ""myDB"";

$conn = new mysqli($servername, $username, $password, $dbname);

if ($conn->connect_error) {
    die(""Connection failed: "" . $conn->connect_error);
}

$sql = ""SELECT id, name, email FROM users"";
$result = $conn->query($sql);

if ($result->num_rows > 0) {
    while($row = $result->fetch_assoc()) {
        echo ""ID: "" . $row[""id""]. "" - Name: "" . $row[""name""]. "" - Email: "" . $row[""email""]. ""<br>"";
    }
} else {
    echo ""0 results"";
}

$conn->close();",php,user_2Z3CKSIRMbRMG5mImMwCY9GZYRY,php,11
